Country,Market,RetailPrice,WholesalePrice,Date
BURUNDI,Bujumbura,644,612,2013-03-26
BURUNDI,Bujumbura,644,612,2013-03-25
BURUNDI,Bujumbura,656,623,2013-03-22
BURUNDI,Bujumbura,656,623,2013-03-21
BURUNDI,Bujumbura,656,623,2013-03-20
BURUNDI,Bujumbura,656,623,2013-03-19
BURUNDI,Bujumbura,656,623,2013-03-18
BURUNDI,Bujumbura,650,617,2013-03-13
BURUNDI,Bujumbura,650,617,2013-03-12
BURUNDI,Bujumbura,650,617,2013-03-11
BURUNDI,Bujumbura,650,617,2013-03-08
BURUNDI,Bujumbura,650,617,2013-03-07
BURUNDI,Bujumbura,650,617,2013-03-06
BURUNDI,Bujumbura,650,617,2013-03-05
BURUNDI,Bujumbura,650,617,2013-03-04
