Country,Market,RetailPrice,WholesalePrice,Date
KENYA,Nairobi,420,367,2013-03-26
KENYA,Kisumu,449,413,2013-03-26
KENYA,Eldoret,390,342,2013-03-26
KENYA,Nakuru,472,331,2013-03-26
KENYA,Kitale,378,366,2013-03-26
KENYA,Mombasa,472,354,2013-03-26
KENYA,Eldoret,390,342,2013-03-25
KENYA,Nakuru,472,331,2013-03-25
KENYA,Kisumu,449,413,2013-03-25
KENYA,Nairobi,420,367,2013-03-25
KENYA,Kitale,378,366,2013-03-25
KENYA,Mombasa,472,354,2013-03-25
KENYA,Kitale,380,368,2013-03-22
KENYA,Kisumu,452,392,2013-03-22
KENYA,Nairobi,425,366,2013-03-22
KENYA,Eldoret,392,344,2013-03-22
KENYA,Mombasa,452,416,2013-03-22
KENYA,Kitale,380,368,2013-03-21
KENYA,Kisumu,404,368,2013-03-21
KENYA,Eldoret,392,344,2013-03-21
KENYA,Mombasa,475,416,2013-03-21
KENYA,Kitale,380,368,2013-03-20
KENYA,Kisumu,404,368,2013-03-20
KENYA,Eldoret,392,356,2013-03-20
KENYA,Nakuru,475,333,2013-03-20
KENYA,Mombasa,475,416,2013-03-20
KENYA,Nakuru,475,333,2013-03-19
KENYA,Kisumu,404,368,2013-03-19
KENYA,Mombasa,475,416,2013-03-19
KENYA,Nairobi,428,380,2013-03-19
KENYA,Eldoret,416,368,2013-03-19
KENYA,Kitale,380,356,2013-03-19
KENYA,Kitale,380,356,2013-03-18
KENYA,Kisumu,404,368,2013-03-18
KENYA,Nairobi,428,368,2013-03-18
KENYA,Eldoret,416,368,2013-03-18
KENYA,Nakuru,475,333,2013-03-18
KENYA,Mombasa,475,416,2013-03-18
KENYA,Makueni,406,359,2013-03-15
KENYA,Kisumu,394,359,2013-03-15
KENYA,Nairobi,418,371,2013-03-15
KENYA,Kitale,371,348,2013-03-15
KENYA,Mombasa,441,348,2013-03-15
KENYA,Nairobi,359,417,2013-03-14
KENYA,Kitale,371,348,2013-03-14
KENYA,Mombasa,399,373,2013-03-14
KENYA,Eldoret,406,359,2013-03-14
KENYA,Kisumu,394,359,2013-03-14
KENYA,Nairobi,371,417,2013-03-13
KENYA,Kitale,371,348,2013-03-13
KENYA,Mombasa,399,373,2013-03-13
KENYA,Nakuru,464,348,2013-03-13
KENYA,Eldoret,406,359,2013-03-13
KENYA,Kisumu,487,441,2013-03-13
KENYA,Nairobi,417,371,2013-03-12
KENYA,Nakuru,464,348,2013-03-12
KENYA,Mombasa,432,361,2013-03-12
KENYA,Kitale,371,348,2013-03-12
KENYA,Kisumu,487,441,2013-03-12
KENYA,Nairobi,414,361,2013-03-11
KENYA,Eldoret,383,336,2013-03-11
KENYA,Mombasa,464,348,2013-03-11
KENYA,Nakuru,464,348,2013-03-11
KENYA,Eldoret,383,336,2013-03-11
KENYA,Kisumu,487,441,2013-03-11
KENYA,Nairobi,412,361,2013-03-08
KENYA,Kisumu,441,406,2013-03-08
KENYA,Kitale,371,348,2013-03-08
KENYA,Mombasa,464,348,2013-03-08
KENYA,Kisumu,441,406,2013-03-07
KENYA,Nairobi,412,361,2013-03-07
KENYA,Kitale,371,348,2013-03-06
KENYA,Kisumu,441,406,2013-03-06
KENYA,Nairobi,412,361,2013-03-06
KENYA,Nairobi,412,361,2013-03-05
