Country,Market,RetailPrice,WholesalePrice,Date
KENYA,Eldoret,1537,1359,2013-03-26
KENYA,Nakuru,1241,1123,2013-03-26
KENYA,Kitale,1182,993,2013-03-26
KENYA,Mombasa,1773,1537,2013-03-26
KENYA,Nairobi,1418,1300,2013-03-26
KENYA,Kisumu,1300,1182,2013-03-26
KENYA,Nairobi,1418,1300,2013-03-25
KENYA,Kitale,1182,993,2013-03-25
KENYA,Mombasa,1773,1537,2013-03-25
KENYA,Eldoret,1537,1359,2013-03-25
KENYA,Nakuru,1241,1123,2013-03-25
KENYA,Kisumu,1300,1182,2013-03-25
KENYA,Eldoret,1546,1368,2013-03-22
KENYA,Mombasa,1546,1427,2013-03-22
KENYA,Kitale,1189,1070,2013-03-22
KENYA,Kisumu,1427,1308,2013-03-22
KENYA,Nairobi,1418,1300,2013-03-22
KENYA,Eldoret,1546,1368,2013-03-21
KENYA,Mombasa,1784,1427,2013-03-21
KENYA,Kitale,1189,1070,2013-03-21
KENYA,Kisumu,1308,1189,2013-03-21
KENYA,Nakuru,1189,1070,2013-03-20
KENYA,Mombasa,1784,1427,2013-03-20
KENYA,Kitale,1189,1070,2013-03-20
KENYA,Kisumu,1308,1189,2013-03-20
KENYA,Eldoret,1546,1368,2013-03-20
KENYA,Nairobi,1427,1308,2013-03-19
KENYA,Eldoret,1546,1308,2013-03-19
KENYA,Kitale,1189,1070,2013-03-19
KENYA,Nakuru,1189,1070,2013-03-19
KENYA,Kisumu,1308,1189,2013-03-19
KENYA,Mombasa,1784,1427,2013-03-19
KENYA,Nairobi,1427,1308,2013-03-18
KENYA,Eldoret,1546,1308,2013-03-18
KENYA,Nakuru,1189,1070,2013-03-18
KENYA,Mombasa,1546,1427,2013-03-18
KENYA,Kitale,1189,1070,2013-03-18
KENYA,Kisumu,1308,1189,2013-03-18
KENYA,Nairobi,1394,1278,2013-03-15
KENYA,Kisumu,1276,1160,2013-03-15
KENYA,Kitale,1160,1044,2013-03-15
KENYA,Mombasa,1450,1334,2013-03-15
KENYA,Nairobi,1392,1276,2013-03-14
KENYA,Kitale,1160,1044,2013-03-14
KENYA,Mombasa,1508,1392,2013-03-14
KENYA,Eldoret,1508,1276,2013-03-14
KENYA,Kisumu,1276,1160,2013-03-14
KENYA,Nakuru,1160,1044,2013-03-13
KENYA,Kitale,1160,1044,2013-03-13
KENYA,Mombasa,1508,1392,2013-03-13
KENYA,Nairobi,1392,1276,2013-03-13
KENYA,Eldoret,1508,1276,2013-03-13
KENYA,Kisumu,1276,1160,2013-03-13
KENYA,Nairobi,1392,1276,2013-03-12
KENYA,Kitale,1160,1044,2013-03-12
KENYA,Kisumu,1276,1160,2013-03-12
KENYA,Eldoret,1508,1276,2013-03-12
KENYA,Nakuru,1160,1044,2013-03-12
KENYA,Mombasa,1625,1450,2013-03-12
KENYA,Nakuru,1160,1044,2013-03-11
KENYA,Eldoret,1508,1276,2013-03-11
KENYA,Mombasa,1741,1508,2013-03-11
KENYA,Nairobi,1392,1276,2013-03-11
KENYA,Kisumu,1276,1160,2013-03-11
KENYA,Nairobi,1392,1276,2013-03-08
KENYA,Kisumu,1276,1160,2013-03-08
KENYA,Kitale,1160,928,2013-03-08
KENYA,Mombasa,1741,1508,2013-03-08
KENYA,Kisumu,1276,1160,2013-03-07
KENYA,Nairobi,1392,1276,2013-03-07
KENYA,Kitale,1160,928,2013-03-06
KENYA,Kisumu,1276,1160,2013-03-06
KENYA,Nairobi,1392,1276,2013-03-06
KENYA,Nairobi,1392,1276,2013-03-05
