Country,Market,RetailPrice,WholesalePrice,Date
KENYA,Eldoret,496,354,2013-03-26
KENYA,Nakuru,709,591,2013-03-26
KENYA,Kitale,354,295,2013-03-26
KENYA,Mombasa,768,591,2013-03-26
KENYA,Nairobi,525,459,2013-03-26
KENYA,Kisumu,401,366,2013-03-26
KENYA,Nairobi,525,459,2013-03-25
KENYA,Kitale,354,295,2013-03-25
KENYA,Mombasa,768,591,2013-03-25
KENYA,Eldoret,496,378,2013-03-25
KENYA,Nakuru,709,591,2013-03-25
KENYA,Kisumu,401,366,2013-03-25
KENYA,Eldoret,499,380,2013-03-22
KENYA,Mombasa,594,475,2013-03-22
KENYA,Kitale,356,297,2013-03-22
KENYA,Kisumu,452,392,2013-03-22
KENYA,Nairobi,532,461,2013-03-22
KENYA,Eldoret,499,380,2013-03-21
KENYA,Mombasa,713,475,2013-03-21
KENYA,Kitale,356,297,2013-03-21
KENYA,Kisumu,452,416,2013-03-21
KENYA,Nakuru,713,594,2013-03-20
KENYA,Mombasa,713,475,2013-03-20
KENYA,Kitale,356,297,2013-03-20
KENYA,Kisumu,452,416,2013-03-20
KENYA,Eldoret,499,380,2013-03-20
KENYA,Nairobi,535,463,2013-03-19
KENYA,Eldoret,499,380,2013-03-19
KENYA,Kitale,356,297,2013-03-19
KENYA,Nakuru,713,594,2013-03-19
KENYA,Kisumu,452,416,2013-03-19
KENYA,Mombasa,713,475,2013-03-19
KENYA,Nairobi,535,463,2013-03-18
KENYA,Eldoret,499,380,2013-03-18
KENYA,Nakuru,713,594,2013-03-18
KENYA,Mombasa,654,475,2013-03-18
KENYA,Kitale,356,297,2013-03-18
KENYA,Kisumu,452,416,2013-03-18
KENYA,Nairobi,523,453,2013-03-15
KENYA,Kisumu,441,406,2013-03-15
KENYA,Kitale,348,290,2013-03-15
KENYA,Mombasa,580,406,2013-03-15
KENYA,Nairobi,510,452,2013-03-14
KENYA,Kitale,348,290,2013-03-14
KENYA,Mombasa,490,464,2013-03-14
KENYA,Eldoret,464,371,2013-03-14
KENYA,Kisumu,441,406,2013-03-14
KENYA,Nakuru,696,580,2013-03-13
KENYA,Kitale,348,290,2013-03-13
KENYA,Kisumu,441,406,2013-03-13
KENYA,Nairobi,522,452,2013-03-13
KENYA,Eldoret,464,371,2013-03-13
KENYA,Mombasa,490,464,2013-03-13
KENYA,Nairobi,510,441,2013-03-12
KENYA,Kitale,348,290,2013-03-12
KENYA,Kisumu,441,406,2013-03-12
KENYA,Eldoret,464,371,2013-03-12
KENYA,Nakuru,696,580,2013-03-12
KENYA,Mombasa,738,522,2013-03-12
KENYA,Nakuru,754,638,2013-03-11
KENYA,Eldoret,464,371,2013-03-11
KENYA,Mombasa,754,580,2013-03-11
KENYA,Nairobi,515,451,2013-03-11
KENYA,Kisumu,441,406,2013-03-11
KENYA,Nairobi,515,451,2013-03-08
KENYA,Kisumu,441,406,2013-03-08
KENYA,Kitale,406,290,2013-03-08
KENYA,Mombasa,754,580,2013-03-08
KENYA,Kisumu,441,406,2013-03-07
KENYA,Nairobi,515,451,2013-03-07
KENYA,Kitale,406,290,2013-03-06
KENYA,Kisumu,441,406,2013-03-06
KENYA,Nairobi,515,451,2013-03-06
KENYA,Nairobi,515,451,2013-03-05
