Country,Market,RetailPrice,WholesalePrice,Date
TANZANIA,Tanga,487,411,2013-03-26
TANZANIA,Morogoro,506,442,2013-03-26
TANZANIA,Dodoma,569,480,2013-03-26
TANZANIA,Dar,506,474,2013-03-26
TANZANIA,Mwanza,948,822,2013-03-26
TANZANIA,Songea,411,347,2013-03-26
TANZANIA,Mbeya,506,411,2013-03-26
TANZANIA,Iringa,632,506,2013-03-26
TANZANIA,Dar,506,455,2013-03-25
TANZANIA,Mwanza,948,822,2013-03-25
TANZANIA,Arusha,600,436,2013-03-25
TANZANIA,Iringa,632,506,2013-03-25
TANZANIA,Arusha,593,431,2013-03-22
TANZANIA,Mwanza,937,812,2013-03-22
TANZANIA,Songea,411,347,2013-03-22
TANZANIA,Mbeya,506,417,2013-03-22
TANZANIA,Iringa,625,500,2013-03-22
TANZANIA,Tanga,487,411,2013-03-22
TANZANIA,Morogoro,506,442,2013-03-22
TANZANIA,Dodoma,569,474,2013-03-22
TANZANIA,Dar,500,437,2013-03-21
TANZANIA,Mwanza,937,812,2013-03-21
TANZANIA,Arusha,593,431,2013-03-21
TANZANIA,Iringa,625,500,2013-03-21
TANZANIA,Iringa,625,500,2013-03-20
TANZANIA,Arusha,593,431,2013-03-20
TANZANIA,Mwanza,937,812,2013-03-20
TANZANIA,Arusha,593,431,2013-03-19
TANZANIA,Dar,500,437,2013-03-19
TANZANIA,Iringa,625,500,2013-03-19
TANZANIA,Arusha,593,431,2013-03-18
TANZANIA,Mwanza,937,812,2013-03-18
TANZANIA,Iringa,625,500,2013-03-18
TANZANIA,Dar,531,468,2013-03-18
TANZANIA,Tanga,483,408,2013-03-15
TANZANIA,Morogoro,502,439,2013-03-15
TANZANIA,Dodoma,565,471,2013-03-15
TANZANIA,Dar,507,438,2013-03-15
TANZANIA,Songea,408,345,2013-03-15
TANZANIA,Mbeya,502,414,2013-03-15
TANZANIA,Mwanza,939,814,2013-03-15
TANZANIA,Iringa,626,500,2013-03-15
TANZANIA,Mbeya,500,413,2013-03-14
TANZANIA,Iringa,626,500,2013-03-14
TANZANIA,Dar,507,438,2013-03-14
TANZANIA,Tanga,482,407,2013-03-14
TANZANIA,Morogoro,500,438,2013-03-14
TANZANIA,Dodoma,563,469,2013-03-14
TANZANIA,Mwanza,939,814,2013-03-14
TANZANIA,Arusha,594,432,2013-03-14
TANZANIA,Songea,407,344,2013-03-14
TANZANIA,Dar,500,438,2013-03-13
TANZANIA,Iringa,626,500,2013-03-13
TANZANIA,Arusha,594,432,2013-03-13
TANZANIA,Mwanza,939,814,2013-03-13
TANZANIA,Arusha,594,482,2013-03-12
TANZANIA,Dar,500,438,2013-03-12
TANZANIA,Arusha,594,482,2013-03-12
TANZANIA,Iringa,626,500,2013-03-12
TANZANIA,Arusha,594,482,2013-03-11
TANZANIA,Iringa,626,500,2013-03-11
TANZANIA,Dar,500,438,2013-03-11
TANZANIA,Mwanza,939,814,2013-03-11
TANZANIA,Dar,519,475,2013-03-08
TANZANIA,Mwanza,939,814,2013-03-08
TANZANIA,Arusha,594,482,2013-03-08
TANZANIA,Iringa,626,500,2013-03-08
TANZANIA,Dar,532,475,2013-03-07
TANZANIA,Mwanza,939,814,2013-03-07
TANZANIA,Arusha,594,482,2013-03-07
TANZANIA,Iringa,626,500,2013-03-07
TANZANIA,Mwanza,939,814,2013-03-06
TANZANIA,Iringa,626,500,2013-03-06
TANZANIA,Arusha,594,482,2013-03-06
TANZANIA,Dar,519,469,2013-03-06
TANZANIA,Iringa,626,500,2013-03-05
TANZANIA,Dar,500,438,2013-03-05
TANZANIA,Iringa,626,500,2013-03-04
TANZANIA,Dar,532,469,2013-03-04
TANZANIA,Arusha,594,482,2013-03-04
TANZANIA,Mwanza,939,814,2013-03-04
