Country,Market,RetailPrice,WholesalePrice,Date
TANZANIA,Tanga,1201,1012,2013-03-26
TANZANIA,Morogoro,1233,1075,2013-03-26
TANZANIA,Dodoma,1265,1138,2013-03-26
TANZANIA,Dar,1201,1106,2013-03-26
TANZANIA,Mwanza,1265,1201,2013-03-26
TANZANIA,Songea,1138,948,2013-03-26
TANZANIA,Mbeya,1233,1012,2013-03-26
TANZANIA,Iringa,1265,1138,2013-03-26
TANZANIA,Dar,1201,1012,2013-03-25
TANZANIA,Mwanza,1265,1201,2013-03-25
TANZANIA,Arusha,1328,1106,2013-03-25
TANZANIA,Iringa,1265,1201,2013-03-25
TANZANIA,Arusha,1312,1093,2013-03-22
TANZANIA,Mwanza,1250,1187,2013-03-22
TANZANIA,Songea,1138,948,2013-03-22
TANZANIA,Mbeya,1233,1012,2013-03-22
TANZANIA,Iringa,1250,1125,2013-03-22
TANZANIA,Tanga,1201,1012,2013-03-22
TANZANIA,Morogoro,1233,1075,2013-03-22
TANZANIA,Dodoma,1265,1138,2013-03-22
TANZANIA,Dar,1125,1000,2013-03-21
TANZANIA,Mwanza,1250,1187,2013-03-21
TANZANIA,Arusha,1312,1093,2013-03-21
TANZANIA,Iringa,1250,1187,2013-03-21
TANZANIA,Iringa,1250,1187,2013-03-20
TANZANIA,Arusha,1312,1093,2013-03-20
TANZANIA,Mwanza,1250,1187,2013-03-20
TANZANIA,Arusha,1312,1093,2013-03-19
TANZANIA,Dar,1093,875,2013-03-19
TANZANIA,Iringa,1250,1187,2013-03-19
TANZANIA,Arusha,1312,1093,2013-03-18
TANZANIA,Mwanza,1250,1187,2013-03-18
TANZANIA,Iringa,1250,1187,2013-03-18
TANZANIA,Dar,1187,1031,2013-03-18
TANZANIA,Tanga,1193,1005,2013-03-15
TANZANIA,Morogoro,1224,1067,2013-03-15
TANZANIA,Dodoma,1256,1130,2013-03-15
TANZANIA,Dar,1189,1064,2013-03-15
TANZANIA,Songea,1130,942,2013-03-15
TANZANIA,Mbeya,1224,1005,2013-03-15
TANZANIA,Mwanza,1252,1189,2013-03-15
TANZANIA,Iringa,1252,1189,2013-03-15
TANZANIA,Mbeya,1221,1001,2013-03-14
TANZANIA,Iringa,1314,1189,2013-03-14
TANZANIA,Dar,1158,970,2013-03-14
TANZANIA,Tanga,1189,1001,2013-03-14
TANZANIA,Morogoro,1221,1064,2013-03-14
TANZANIA,Dodoma,1252,1127,2013-03-14
TANZANIA,Mwanza,1252,1189,2013-03-14
TANZANIA,Arusha,1314,1095,2013-03-14
TANZANIA,Songea,1127,939,2013-03-14
TANZANIA,Dar,1158,1033,2013-03-13
TANZANIA,Iringa,1252,1189,2013-03-13
TANZANIA,Arusha,1314,1095,2013-03-13
TANZANIA,Mwanza,1252,1189,2013-03-13
TANZANIA,Arusha,1314,1095,2013-03-12
TANZANIA,Dar,1127,1001,2013-03-12
TANZANIA,Arusha,1314,1095,2013-03-12
TANZANIA,Iringa,1252,1189,2013-03-12
TANZANIA,Arusha,1314,1064,2013-03-11
TANZANIA,Iringa,1252,1189,2013-03-11
TANZANIA,Dar,1127,939,2013-03-11
TANZANIA,Mwanza,1252,1189,2013-03-11
TANZANIA,Dar,1189,1064,2013-03-08
TANZANIA,Mwanza,1252,1189,2013-03-08
TANZANIA,Arusha,1314,1064,2013-03-08
TANZANIA,Iringa,1252,1189,2013-03-08
TANZANIA,Dar,1252,1095,2013-03-07
TANZANIA,Mwanza,1252,1189,2013-03-07
TANZANIA,Arusha,1314,1064,2013-03-07
TANZANIA,Iringa,1252,1189,2013-03-07
TANZANIA,Mwanza,1252,1189,2013-03-06
TANZANIA,Iringa,1252,1127,2013-03-06
TANZANIA,Arusha,1314,1064,2013-03-06
TANZANIA,Dar,1221,1033,2013-03-06
TANZANIA,Iringa,1252,1127,2013-03-05
TANZANIA,Dar,1221,1064,2013-03-05
TANZANIA,Iringa,1252,1127,2013-03-04
TANZANIA,Dar,1064,1252,2013-03-04
TANZANIA,Arusha,1314,1064,2013-03-04
TANZANIA,Mwanza,1252,1189,2013-03-04
