Country,Market,RetailPrice,WholesalePrice,Date
TANZANIA,Dar,885,790,2013-03-26
TANZANIA,Iringa,759,632,2013-03-26
TANZANIA,Arusha,695,474,2013-03-25
TANZANIA,Iringa,759,632,2013-03-25
TANZANIA,Arusha,687,468,2013-03-22
TANZANIA,Iringa,750,625,2013-03-22
TANZANIA,Arusha,687,468,2013-03-21
TANZANIA,Iringa,750,625,2013-03-21
TANZANIA,Dar,906,812,2013-03-21
TANZANIA,Arusha,687,468,2013-03-20
TANZANIA,Iringa,750,625,2013-03-20
TANZANIA,Dar,875,812,2013-03-19
TANZANIA,Iringa,750,625,2013-03-19
TANZANIA,Arusha,625,437,2013-03-19
TANZANIA,Iringa,812,687,2013-03-18
TANZANIA,Arusha,687,468,2013-03-18
TANZANIA,Dar,1000,875,2013-03-18
TANZANIA,Dar,1001,876,2013-03-15
TANZANIA,Iringa,814,688,2013-03-15
TANZANIA,Iringa,1252,1189,2013-03-14
TANZANIA,Arusha,688,469,2013-03-14
TANZANIA,Dar,1001,876,2013-03-14
TANZANIA,Iringa,751,626,2013-03-13
TANZANIA,Arusha,688,469,2013-03-13
TANZANIA,Dar,1001,876,2013-03-13
TANZANIA,Dar,1001,876,2013-03-12
TANZANIA,Arusha,688,469,2013-03-12
TANZANIA,Iringa,751,626,2013-03-12
TANZANIA,Dar,1001,876,2013-03-11
TANZANIA,Iringa,751,626,2013-03-11
TANZANIA,Arusha,688,469,2013-03-11
TANZANIA,Dar,876,751,2013-03-08
TANZANIA,Arusha,688,469,2013-03-08
TANZANIA,Iringa,751,626,2013-03-08
TANZANIA,Arusha,688,469,2013-03-07
TANZANIA,Iringa,751,626,2013-03-07
TANZANIA,Dar,876,751,2013-03-07
TANZANIA,Dar,876,751,2013-03-06
TANZANIA,Arusha,688,469,2013-03-06
TANZANIA,Iringa,751,626,2013-03-06
TANZANIA,Iringa,751,626,2013-03-05
TANZANIA,Dar,876,751,2013-03-05
TANZANIA,Arusha,688,469,2013-03-04
TANZANIA,Iringa,626,500,2013-03-04
TANZANIA,Dar,876,751,2013-03-04
