Country,Market,RetailPrice,WholesalePrice,Date
UGANDA,Busia,385,324,2013-03-26
UGANDA,Tororo,385,331,2013-03-26
UGANDA,Kampala,462,385,2013-03-26
UGANDA,Masindi,385,315,2013-03-26
UGANDA,Kabale,385,346,2013-03-26
UGANDA,Kasese,327,308,2013-03-26
UGANDA,Mbale,385,319,2013-03-26
UGANDA,Owino,462,346,2013-03-26
UGANDA,Lira,385,327,2013-03-26
UGANDA,Kampala,462,385,2013-03-25
UGANDA,Mbale,385,308,2013-03-25
UGANDA,Lira,385,327,2013-03-25
UGANDA,Busia,385,324,2013-03-25
UGANDA,Owino,462,385,2013-03-25
UGANDA,Tororo,385,338,2013-03-25
UGANDA,Masindi,385,308,2013-03-25
UGANDA,Kabale,385,331,2013-03-25
UGANDA,Kasese,327,308,2013-03-25
UGANDA,Masindi,385,308,2013-03-22
UGANDA,Kasese,326,307,2013-03-22
UGANDA,Kabale,385,338,2013-03-22
UGANDA,Owino,460,384,2013-03-22
UGANDA,Mbale,385,308,2013-03-22
UGANDA,Busia,385,324,2013-03-22
UGANDA,Lira,385,327,2013-03-22
UGANDA,Kampala,384,345,2013-03-22
UGANDA,Tororo,385,338,2013-03-22
UGANDA,Kasese,326,307,2013-03-21
UGANDA,Kampala,384,345,2013-03-21
UGANDA,Busia,384,327,2013-03-21
UGANDA,Owino,460,384,2013-03-21
UGANDA,Kampala,384,345,2013-03-20
UGANDA,Kasese,295,288,2013-03-20
UGANDA,Owino,460,384,2013-03-20
UGANDA,Busia,384,327,2013-03-20
UGANDA,Busia,384,328,2013-03-19
UGANDA,Owino,460,384,2013-03-19
UGANDA,Mbale,384,314,2013-03-19
UGANDA,Lira,384,326,2013-03-19
UGANDA,Kasese,288,280,2013-03-19
UGANDA,Kampala,384,330,2013-03-19
UGANDA,Tororo,384,307,2013-03-19
UGANDA,Masindi,384,307,2013-03-19
UGANDA,Kabale,384,337,2013-03-19
UGANDA,Mbale,384,314,2013-03-18
UGANDA,Lira,384,326,2013-03-18
UGANDA,Busia,384,328,2013-03-18
UGANDA,Owino,460,384,2013-03-18
UGANDA,Tororo,384,337,2013-03-18
UGANDA,Masindi,384,307,2013-03-18
UGANDA,Kabale,384,337,2013-03-18
UGANDA,Kasese,288,280,2013-03-18
UGANDA,Kampala,384,330,2013-03-18
UGANDA,Mbale,344,306,2013-03-15
UGANDA,Lira,344,321,2013-03-15
UGANDA,Busia,381,342,2013-03-15
UGANDA,Tororo,382,328,2013-03-15
UGANDA,Masindi,344,298,2013-03-15
UGANDA,Kabale,382,336,2013-03-15
UGANDA,Kasese,286,266,2013-03-15
UGANDA,Kasese,286,266,2013-03-14
UGANDA,Mbale,343,305,2013-03-14
UGANDA,Lira,343,312,2013-03-14
UGANDA,Busia,381,335,2013-03-14
UGANDA,Kampala,381,327,2013-03-14
UGANDA,Tororo,381,327,2013-03-14
UGANDA,Masindi,343,297,2013-03-14
UGANDA,Kabale,38,335,2013-03-14
UGANDA,Owino,381,343,2013-03-14
UGANDA,Masindi,343,297,2013-03-13
UGANDA,Kabale,381,327,2013-03-13
UGANDA,Kampala,381,327,2013-03-13
UGANDA,Mbale,343,305,2013-03-13
UGANDA,Lira,274,266,2013-03-13
UGANDA,Busia,381,335,2013-03-13
UGANDA,Owino,381,343,2013-03-13
UGANDA,Tororo,381,331,2013-03-13
UGANDA,Tororo,381,331,2013-03-12
UGANDA,Masindi,343,297,2013-03-12
UGANDA,Kabale,381,327,2013-03-12
UGANDA,Kampala,381,324,2013-03-12
UGANDA,Mbale,343,305,2013-03-12
UGANDA,Lira,343,305,2013-03-12
UGANDA,Busia,381,335,2013-03-12
UGANDA,Owino,381,343,2013-03-12
UGANDA,Mbale,343,297,2013-03-11
UGANDA,Lira,343,297,2013-03-11
UGANDA,Busia,381,327,2013-03-11
UGANDA,Kampala,381,324,2013-03-11
UGANDA,Tororo,381,324,2013-03-11
UGANDA,Masindi,343,289,2013-03-11
UGANDA,Kabale,381,327,2013-03-11
UGANDA,Owino,381,343,2013-03-11
UGANDA,Mbale,343,293,2013-03-08
UGANDA,Lira,343,286,2013-03-08
UGANDA,Busia,381,320,2013-03-08
UGANDA,Owino,381,343,2013-03-08
UGANDA,Tororo,381,324,2013-03-08
UGANDA,Masindi,343,286,2013-03-08
UGANDA,Kabale,381,324,2013-03-08
UGANDA,Kampala,381,316,2013-03-08
UGANDA,Masindi,305,286,2013-03-07
UGANDA,Kabale,381,324,2013-03-07
UGANDA,Kampala,381,312,2013-03-07
UGANDA,Kasese,266,259,2013-03-07
UGANDA,Mbale,343,297,2013-03-07
UGANDA,Lira,343,297,2013-03-07
UGANDA,Busia,381,316,2013-03-07
UGANDA,Owino,457,343,2013-03-07
UGANDA,Tororo,381,324,2013-03-07
UGANDA,Mbale,343,297,2013-03-06
UGANDA,Kasese,266,259,2013-03-06
UGANDA,Lira,343,297,2013-03-06
UGANDA,Kampala,381,316,2013-03-06
UGANDA,Busia,381,320,2013-03-06
UGANDA,Tororo,381,324,2013-03-06
UGANDA,Masindi,305,286,2013-03-06
UGANDA,Owino,381,343,2013-03-06
UGANDA,Kabale,381,324,2013-03-06
UGANDA,Masindi,305,286,2013-03-05
UGANDA,Kabale,381,327,2013-03-05
UGANDA,Kasese,266,259,2013-03-05
UGANDA,Mbale,343,289,2013-03-05
UGANDA,Owino,381,343,2013-03-05
UGANDA,Lira,343,297,2013-03-05
UGANDA,Busia,381,322,2013-03-05
UGANDA,Busia,381,323,2013-03-05
UGANDA,Tororo,381,324,2013-03-05
UGANDA,Kampala,381,324,2013-03-05
UGANDA,Busia,381,323,2013-03-04
