Country,Market,RetailPrice,WholesalePrice,Date
RWANDA,Kimironko,521,489,2013-03-26
RWANDA,Kigali,442,395,2013-03-26
RWANDA,Kicukiro,537,521,2013-03-26
RWANDA,Ruhengeri,347,316,2013-03-25
RWANDA,Kicukiro,537,521,2013-03-25
RWANDA,Kigali,426,395,2013-03-25
RWANDA,Kimironko,521,489,2013-03-25
RWANDA,Kigali,426,395,2013-03-22
RWANDA,Kimironko,513,481,2013-03-22
RWANDA,Kicukiro,545,529,2013-03-22
RWANDA,Kicukiro,545,529,2013-03-21
RWANDA,Kimironko,529,497,2013-03-21
RWANDA,Kimironko,529,497,2013-03-20
RWANDA,Kicukiro,545,529,2013-03-20
RWANDA,Kigali,433,384,2013-03-19
RWANDA,Kicukiro,561,545,2013-03-19
RWANDA,Ruhengeri,352,320,2013-03-19
RWANDA,Kimironko,513,481,2013-03-19
RWANDA,Kimironko,513,481,2013-03-18
RWANDA,Kigali,417,384,2013-03-18
RWANDA,Kicukiro,561,545,2013-03-18
RWANDA,Ruhengeri,352,320,2013-03-18
RWANDA,Kigali,439,390,2013-03-15
RWANDA,Kimironko,510,477,2013-03-15
RWANDA,Kicukiro,576,552,2013-03-15
RWANDA,Ruhengeri,362,329,2013-03-15
RWANDA,Ruhengeri,362,329,2013-03-14
RWANDA,Kimironko,510,477,2013-03-14
RWANDA,Kigali,444,395,2013-03-14
RWANDA,Kicukiro,576,552,2013-03-14
RWANDA,Kicukiro,593,560,2013-03-13
RWANDA,Kimironko,527,494,2013-03-13
RWANDA,Kigali,444,395,2013-03-13
RWANDA,Ruhengeri,362,329,2013-03-13
RWANDA,Ruhengeri,362,329,2013-03-12
RWANDA,Kimironko,527,494,2013-03-12
RWANDA,Kigali,461,411,2013-03-12
RWANDA,Kicukiro,593,560,2013-03-12
RWANDA,Kigali,494,411,2013-03-11
RWANDA,Kicukiro,593,560,2013-03-11
RWANDA,Ruhengeri,362,329,2013-03-11
RWANDA,Kigali,494,411,2013-03-08
RWANDA,Ruhengeri,362,329,2013-03-08
RWANDA,Kimironko,494,477,2013-03-08
RWANDA,Kicukiro,494,461,2013-03-08
RWANDA,Kigali,494,411,2013-03-07
RWANDA,Ruhengeri,362,329,2013-03-07
RWANDA,Kimironko,494,477,2013-03-07
RWANDA,Kicukiro,609,576,2013-03-07
RWANDA,Kigali,494,411,2013-03-06
RWANDA,Kicukiro,609,576,2013-03-06
RWANDA,Ruhengeri,362,329,2013-03-06
RWANDA,Kicukiro,609,576,2013-03-06
RWANDA,Kigali,461,411,2013-03-05
RWANDA,Kicukiro,609,576,2013-03-05
RWANDA,Kicukiro,609,576,2013-03-05
RWANDA,Ruhengeri,362,329,2013-03-05
RWANDA,Kicukiro,609,576,2013-03-04
RWANDA,Kicukiro,609,576,2013-03-04
RWANDA,Ruhengeri,362,329,2013-03-04
RWANDA,Kigali,461,411,2013-03-04
