Country,Market,RetailPrice,WholesalePrice,Date
RWANDA,Kimironko,1106,1058,2013-03-26
RWANDA,Kigali,1106,1027,2013-03-26
RWANDA,Kicukiro,1106,1058,2013-03-26
RWANDA,Ruhengeri,1106,995,2013-03-25
RWANDA,Kicukiro,1106,1058,2013-03-25
RWANDA,Kigali,1106,1027,2013-03-25
RWANDA,Kimironko,1106,1058,2013-03-25
RWANDA,Kigali,1106,1027,2013-03-22
RWANDA,Kimironko,1122,1090,2013-03-22
RWANDA,Kicukiro,1122,1058,2013-03-22
RWANDA,Kicukiro,1122,1058,2013-03-21
RWANDA,Kimironko,1122,1090,2013-03-21
RWANDA,Kimironko,1122,1090,2013-03-20
RWANDA,Kicukiro,1122,1058,2013-03-20
RWANDA,Kigali,1122,1042,2013-03-19
RWANDA,Kicukiro,1122,1058,2013-03-19
RWANDA,Ruhengeri,1122,1010,2013-03-19
RWANDA,Kimironko,1122,1090,2013-03-19
RWANDA,Kimironko,1122,1090,2013-03-18
RWANDA,Kigali,1122,1042,2013-03-18
RWANDA,Kicukiro,1122,1058,2013-03-18
RWANDA,Ruhengeri,1122,1010,2013-03-18
RWANDA,Ruhengeri,1153,1021,2013-03-15
RWANDA,Kigali,1140,1058,2013-03-15
RWANDA,Kimironko,1153,1120,2013-03-15
RWANDA,Kicukiro,1153,1071,2013-03-15
RWANDA,Ruhengeri,1153,1021,2013-03-14
RWANDA,Kimironko,1153,1120,2013-03-14
RWANDA,Kigali,1153,1071,2013-03-14
RWANDA,Kicukiro,1153,1071,2013-03-14
RWANDA,Kicukiro,1153,1071,2013-03-13
RWANDA,Kimironko,1153,1104,2013-03-13
RWANDA,Kigali,1153,1071,2013-03-13
RWANDA,Ruhengeri,1153,1021,2013-03-13
RWANDA,Ruhengeri,1153,1021,2013-03-12
RWANDA,Kimironko,1153,1104,2013-03-12
RWANDA,Kigali,1153,1071,2013-03-12
RWANDA,Kicukiro,1153,1071,2013-03-12
RWANDA,Kicukiro,1153,1071,2013-03-11
RWANDA,Ruhengeri,1153,1021,2013-03-11
RWANDA,Kimironko,1153,1104,2013-03-11
RWANDA,Kigali,1170,1104,2013-03-11
RWANDA,Kimironko,1153,1087,2013-03-08
RWANDA,Kicukiro,1153,1071,2013-03-08
RWANDA,Kigali,1153,1071,2013-03-08
RWANDA,Ruhengeri,1153,1021,2013-03-08
RWANDA,Kimironko,1153,1087,2013-03-07
RWANDA,Kicukiro,1153,1071,2013-03-07
RWANDA,Kigali,1153,1071,2013-03-07
RWANDA,Ruhengeri,1153,1021,2013-03-07
RWANDA,Ruhengeri,1153,1021,2013-03-06
RWANDA,Kicukiro,1153,1071,2013-03-06
RWANDA,Kigali,1153,1071,2013-03-06
RWANDA,Kicukiro,1153,1071,2013-03-06
RWANDA,Kicukiro,1153,1071,2013-03-05
RWANDA,Kicukiro,1153,1071,2013-03-05
RWANDA,Ruhengeri,1153,1021,2013-03-05
RWANDA,Kigali,1153,1071,2013-03-05
RWANDA,Kicukiro,1153,1071,2013-03-04
RWANDA,Ruhengeri,1153,1021,2013-03-04
RWANDA,Kigali,1153,1071,2013-03-04
RWANDA,Kicukiro,1153,1071,2013-03-04
