Country,Market,RetailPrice,WholesalePrice,Date
RWANDA,Kigali,711,632,2013-03-26
RWANDA,Kicukiro,742,703,2013-03-26
RWANDA,Kimironko,695,679,2013-03-26
RWANDA,Kigali,711,632,2013-03-25
RWANDA,Kimironko,695,679,2013-03-25
RWANDA,Ruhengeri,553,505,2013-03-25
RWANDA,Kicukiro,742,703,2013-03-25
RWANDA,Kimironko,705,689,2013-03-22
RWANDA,Kicukiro,737,705,2013-03-22
RWANDA,Kigali,711,632,2013-03-22
RWANDA,Kimironko,721,705,2013-03-21
RWANDA,Kicukiro,737,705,2013-03-21
RWANDA,Kicukiro,737,705,2013-03-20
RWANDA,Kimironko,721,705,2013-03-20
RWANDA,Kimironko,705,689,2013-03-19
RWANDA,Kigali,721,641,2013-03-19
RWANDA,Kicukiro,753,737,2013-03-19
RWANDA,Ruhengeri,561,513,2013-03-19
RWANDA,Kigali,721,641,2013-03-18
RWANDA,Kicukiro,753,737,2013-03-18
RWANDA,Ruhengeri,561,513,2013-03-18
RWANDA,Kimironko,705,689,2013-03-18
RWANDA,Kimironko,741,708,2013-03-15
RWANDA,Kicukiro,791,774,2013-03-15
RWANDA,Ruhengeri,576,527,2013-03-15
RWANDA,Kigali,732,651,2013-03-15
RWANDA,Kigali,741,659,2013-03-14
RWANDA,Kicukiro,791,774,2013-03-14
RWANDA,Ruhengeri,576,527,2013-03-14
RWANDA,Kimironko,741,708,2013-03-14
RWANDA,Kigali,741,659,2013-03-13
RWANDA,Ruhengeri,576,527,2013-03-13
RWANDA,Kicukiro,791,774,2013-03-13
RWANDA,Kimironko,741,708,2013-03-13
RWANDA,Kigali,741,659,2013-03-12
RWANDA,Kicukiro,791,774,2013-03-12
RWANDA,Ruhengeri,576,527,2013-03-12
RWANDA,Kimironko,741,708,2013-03-12
RWANDA,Kimironko,741,708,2013-03-11
RWANDA,Ruhengeri,576,527,2013-03-11
RWANDA,Kicukiro,791,774,2013-03-11
RWANDA,Kimironko,741,708,2013-03-08
RWANDA,Kicukiro,807,774,2013-03-08
RWANDA,Kigali,741,659,2013-03-08
RWANDA,Ruhengeri,576,527,2013-03-08
RWANDA,Kimironko,741,708,2013-03-07
RWANDA,Kicukiro,791,758,2013-03-07
RWANDA,Kigali,741,659,2013-03-07
RWANDA,Ruhengeri,576,527,2013-03-07
RWANDA,Ruhengeri,576,527,2013-03-06
RWANDA,Kicukiro,807,774,2013-03-06
RWANDA,Kigali,823,741,2013-03-06
RWANDA,Kicukiro,807,774,2013-03-06
RWANDA,Kicukiro,807,774,2013-03-05
RWANDA,Kicukiro,807,774,2013-03-05
RWANDA,Ruhengeri,576,527,2013-03-05
RWANDA,Kigali,741,659,2013-03-05
RWANDA,Kicukiro,807,774,2013-03-04
RWANDA,Ruhengeri,576,527,2013-03-04
RWANDA,Kigali,741,659,2013-03-04
RWANDA,Kicukiro,807,774,2013-03-04
