Country,Market,RetailPrice,WholesalePrice,Date
TANZANIA,Dar,506,442,2013-03-26
TANZANIA,Songea,506,316,2013-03-26
TANZANIA,Mbeya,885,632,2013-03-26
TANZANIA,Mwanza,1265,1075,2013-03-26
TANZANIA,Tanga,948,632,2013-03-26
TANZANIA,Morogoro,948,759,2013-03-26
TANZANIA,Dodoma,822,632,2013-03-26
TANZANIA,Arusha,632,442,2013-03-25
TANZANIA,Mwanza,1265,1075,2013-03-25
TANZANIA,Arusha,625,437,2013-03-22
TANZANIA,Tanga,948,632,2013-03-22
TANZANIA,Morogoro,948,759,2013-03-22
TANZANIA,Dodoma,822,632,2013-03-22
TANZANIA,Mwanza,1250,1062,2013-03-22
TANZANIA,Songea,506,316,2013-03-22
TANZANIA,Mbeya,885,632,2013-03-22
TANZANIA,Arusha,625,437,2013-03-21
TANZANIA,Mwanza,1250,1062,2013-03-21
TANZANIA,Dar,531,468,2013-03-21
TANZANIA,Mwanza,1250,1062,2013-03-20
TANZANIA,Arusha,625,437,2013-03-20
TANZANIA,Arusha,687,468,2013-03-19
TANZANIA,Dar,562,468,2013-03-19
TANZANIA,Mwanza,1250,1062,2013-03-18
TANZANIA,Arusha,625,437,2013-03-18
TANZANIA,Dar,500,450,2013-03-18
TANZANIA,Songea,502,314,2013-03-15
TANZANIA,Mbeya,879,628,2013-03-15
TANZANIA,Mwanza,1252,1064,2013-03-15
TANZANIA,Tanga,942,628,2013-03-15
TANZANIA,Morogoro,942,753,2013-03-15
TANZANIA,Dodoma,816,628,2013-03-15
TANZANIA,Dar,469,532,2013-03-15
TANZANIA,Tanga,939,626,2013-03-14
TANZANIA,Morogoro,939,751,2013-03-14
TANZANIA,Dodoma,814,626,2013-03-14
TANZANIA,Dar,513,438,2013-03-14
TANZANIA,Songea,500,313,2013-03-14
TANZANIA,Mbeya,876,626,2013-03-14
TANZANIA,Mwanza,1252,1064,2013-03-14
TANZANIA,Arusha,626,438,2013-03-14
TANZANIA,Arusha,626,438,2013-03-13
TANZANIA,Dar,500,438,2013-03-13
TANZANIA,Mwanza,1252,1064,2013-03-13
TANZANIA,Arusha,939,814,2013-03-12
TANZANIA,Dar,500,438,2013-03-12
TANZANIA,Arusha,626,438,2013-03-12
TANZANIA,Arusha,626,438,2013-03-11
TANZANIA,Dar,500,438,2013-03-11
TANZANIA,Mwanza,1252,1064,2013-03-11
TANZANIA,Arusha,626,438,2013-03-08
TANZANIA,Mwanza,1252,1064,2013-03-08
TANZANIA,Dar,532,438,2013-03-08
TANZANIA,Dar,532,438,2013-03-07
TANZANIA,Arusha,626,438,2013-03-07
TANZANIA,Mwanza,1252,1064,2013-03-07
TANZANIA,Arusha,626,438,2013-03-06
TANZANIA,Dar,532,438,2013-03-06
TANZANIA,Mwanza,1252,1064,2013-03-06
TANZANIA,Dar,532,438,2013-03-05
TANZANIA,Dar,532,438,2013-03-04
TANZANIA,Arusha,626,438,2013-03-04
TANZANIA,Mwanza,1252,1064,2013-03-04
