Country,Market,RetailPrice,WholesalePrice,Date
UGANDA,Kasese,1347,1309,2013-03-26
UGANDA,Tororo,1309,1193,2013-03-26
UGANDA,Owino,1347,1232,2013-03-26
UGANDA,Masindi,1347,1232,2013-03-26
UGANDA,Kabale,1347,1232,2013-03-26
UGANDA,Kampala,1347,1232,2013-03-26
UGANDA,Mbale,1270,1193,2013-03-26
UGANDA,Lira,1270,1193,2013-03-26
UGANDA,Lira,1270,1193,2013-03-25
UGANDA,Owino,1347,1232,2013-03-25
UGANDA,Tororo,1309,1193,2013-03-25
UGANDA,Masindi,1347,1232,2013-03-25
UGANDA,Kabale,1347,1232,2013-03-25
UGANDA,Kasese,1347,1309,2013-03-25
UGANDA,Kampala,1347,1232,2013-03-25
UGANDA,Mbale,1270,1193,2013-03-25
UGANDA,Kasese,1344,1305,2013-03-22
UGANDA,Mbale,1232,1155,2013-03-22
UGANDA,Owino,1344,1228,2013-03-22
UGANDA,Lira,1270,1155,2013-03-22
UGANDA,Tororo,1309,1193,2013-03-22
UGANDA,Kampala,1305,1190,2013-03-22
UGANDA,Masindi,1347,1232,2013-03-22
UGANDA,Kabale,1347,1232,2013-03-22
UGANDA,Owino,1344,1228,2013-03-21
UGANDA,Kasese,1344,1305,2013-03-21
UGANDA,Kampala,1305,1190,2013-03-21
UGANDA,Kasese,1344,1305,2013-03-20
UGANDA,Kampala,1305,1190,2013-03-20
UGANDA,Owino,1344,1228,2013-03-20
UGANDA,Lira,1267,1228,2013-03-19
UGANDA,Kasese,1344,1305,2013-03-19
UGANDA,Kampala,1305,1190,2013-03-19
UGANDA,Tororo,1305,1190,2013-03-19
UGANDA,Masindi,1305,1209,2013-03-19
UGANDA,Kabale,1344,1228,2013-03-19
UGANDA,Owino,1344,1228,2013-03-19
UGANDA,Mbale,1228,1152,2013-03-19
UGANDA,Kampala,1305,1190,2013-03-18
UGANDA,Mbale,1228,1152,2013-03-18
UGANDA,Lira,1267,1152,2013-03-18
UGANDA,Owino,1344,1228,2013-03-18
UGANDA,Tororo,1305,1190,2013-03-18
UGANDA,Masindi,1305,1209,2013-03-18
UGANDA,Kabale,1344,1228,2013-03-18
UGANDA,Kasese,1344,1305,2013-03-18
UGANDA,Mbale,1224,1147,2013-03-15
UGANDA,Lira,1262,1147,2013-03-15
UGANDA,Kasese,1334,1296,2013-03-15
UGANDA,Tororo,1300,1185,2013-03-15
UGANDA,Masindi,1300,1205,2013-03-15
UGANDA,Kabale,1338,1224,2013-03-15
UGANDA,Tororo,1296,1182,2013-03-14
UGANDA,Masindi,1296,1201,2013-03-14
UGANDA,Kabale,1334,1220,2013-03-14
UGANDA,Owino,1334,1182,2013-03-14
UGANDA,Kasese,1334,1296,2013-03-14
UGANDA,Mbale,1220,1144,2013-03-14
UGANDA,Lira,1258,1220,2013-03-14
UGANDA,Busia,1258,1182,2013-03-14
UGANDA,Kampala,1296,1182,2013-03-14
UGANDA,Mbale,1220,1144,2013-03-13
UGANDA,Lira,1258,1144,2013-03-13
UGANDA,Kabale,1296,1220,2013-03-13
UGANDA,Kampala,1258,1182,2013-03-13
UGANDA,Tororo,1296,1182,2013-03-13
UGANDA,Masindi,1296,1182,2013-03-13
UGANDA,Kasese,1334,1296,2013-03-13
UGANDA,Busia,1258,1182,2013-03-13
UGANDA,Owino,1296,1182,2013-03-13
UGANDA,Owino,1296,1182,2013-03-12
UGANDA,Tororo,1296,1182,2013-03-12
UGANDA,Masindi,1296,1182,2013-03-12
UGANDA,Kabale,1296,1220,2013-03-12
UGANDA,Kampala,1258,1182,2013-03-12
UGANDA,Mbale,1220,1144,2013-03-12
UGANDA,Lira,1258,1144,2013-03-12
UGANDA,Busia,1258,1201,2013-03-12
UGANDA,Mbale,1220,1144,2013-03-11
UGANDA,Lira,1258,1106,2013-03-11
UGANDA,Busia,1258,1182,2013-03-11
UGANDA,Kampala,1258,1182,2013-03-11
UGANDA,Tororo,1296,1182,2013-03-11
UGANDA,Masindi,1296,1182,2013-03-11
UGANDA,Kabale,1296,1220,2013-03-11
UGANDA,Owino,1296,1182,2013-03-11
UGANDA,Mbale,1220,1144,2013-03-08
UGANDA,Lira,1258,1106,2013-03-08
UGANDA,Busia,1258,1182,2013-03-08
UGANDA,Owino,1296,1182,2013-03-08
UGANDA,Tororo,1296,1182,2013-03-08
UGANDA,Masindi,1296,1182,2013-03-08
UGANDA,Kabale,1296,1220,2013-03-08
UGANDA,Kampala,1258,1182,2013-03-08
UGANDA,Tororo,1296,1182,2013-03-07
UGANDA,Masindi,1296,1182,2013-03-07
UGANDA,Kabale,1296,1220,2013-03-07
UGANDA,Kampala,1258,1182,2013-03-07
UGANDA,Kasese,1334,1296,2013-03-07
UGANDA,Mbale,1220,114,2013-03-07
UGANDA,Lira,1258,1106,2013-03-07
UGANDA,Busia,1258,1182,2013-03-07
UGANDA,Owino,1296,1182,2013-03-07
UGANDA,Mbale,1220,1144,2013-03-06
UGANDA,Kasese,1334,1296,2013-03-06
UGANDA,Lira,1258,1106,2013-03-06
